dataset_group,dataset,anchor,anchor_mean_abs_corr_delta_mean,anchor_target_corr_delta_mean,anchor_target_corr_real_mean,anchor_target_corr_synthetic_mean
vigitel,S1_A1_sep_anchor,flvreg,0.06269326644415056,0.05258872020554091,-0.017128678067203928,-0.053173363704698814
vigitel,S1_A1_sep_anchor,fumante,0.042142703517398565,0.04537077005766164,-0.04957534484407521,-0.09494611490173685
vigitel,S1_A1_sep_anchor,gordura,0.11459682252321199,0.026567086710880355,-0.023546011000056877,0.003021075710823479
vigitel,S1_A1_sep_anchor,hart,0.09725260496642764,0.1456163533181906,0.19088975180445011,0.3365061051226407
vigitel,S1_A1_sep_anchor,inativo,0.08594417803189627,0.06490963309589097,0.04952787135932558,-0.015381761736565394
vigitel,S1_A1_sep_anchor,lanche_7,0.11647916920207302,0.024033402391369446,0.023836208812486742,0.004819610354158285
vigitel,S1_A1_sep_anchor,sex,0.05713366681998512,0.07748158884086345,-0.024197492367114777,-0.061116676911344314
vigitel,S1_A1_sep_anchor,years_schooling,0.07693015455007242,0.023898856587646268,-0.055256824566464115,-0.03135796797881785
vigitel,Standard_CTGAN,age,0.14413166670261096,0.11344228492759331,0.105778902208495,-0.00766338271909833
vigitel,Standard_CTGAN,ati_livre,0.11460332616103339,0.06322964406874283,-0.06680114987377513,-0.003571505805032305
vigitel,Standard_CTGAN,ativo_livre,0.14039357636498073,0.02122996193209393,0.006057319512434876,-0.015172642419659054
vigitel,Standard_CTGAN,diab,0.08664710979263728,0.13200151853161018,0.12309083253232804,-0.00891068599928215
vigitel,Standard_CTGAN,dislipidemia,0.09443039762489945,0.06548394705904016,0.042816916156249406,0.019792501439414027
vigitel,Standard_CTGAN,doces5,0.142556540708024,0.010680186728662493,0.017852352982638327,0.01257528763976239
vigitel,Standard_CTGAN,exfuma,0.12152043883548196,0.01950409045123701,0.0026424044477184523,-0.002752228236927633
vigitel,Standard_CTGAN,flvreg,0.06912854467848542,0.03436397648565431,-0.017128678067203928,-0.013292176638573221
vigitel,Standard_CTGAN,fumante,0.046309449040869435,0.040456157064095326,-0.04957534484407521,-0.018682402737579155
vigitel,Standard_CTGAN,gordura,0.1404273864899755,0.016052081522424183,-0.023546011000056877,-0.007493929477632695
vigitel,Standard_CTGAN,hart,0.10737460063522083,0.1644265249897968,0.19088975180445011,0.026463226814653316
vigitel,Standard_CTGAN,inativo,0.0925147530547418,0.06890290038085549,0.04952787135932558,-0.019375029021529915
vigitel,Standard_CTGAN,lanche_7,0.1328076767464911,0.015136563464470256,0.023836208812486742,0.008699645348016486
vigitel,Standard_CTGAN,sex,0.063511376645049,0.049494310864305564,-0.024197492367114777,-0.015307408788656399
vigitel,Standard_CTGAN,years_schooling,0.09048852604308137,0.05271748582660067,-0.055256824566464115,-0.002539338739863438
