dataset_group,fold,dataset,anchor,anchor_mean_abs_corr_delta,anchor_target_corr_real,anchor_target_corr_synthetic,anchor_target_corr_delta
vigitel,1,S0_A0_realism_only,lanche_7,0.11167677196677163,0.029367820895806286,-0.024785233146623665,0.054153054042429954
vigitel,1,S0_A0_realism_only,gordura,0.1113710199268123,-0.019213851481238584,-0.00397537086566403,0.015238480615574555
vigitel,1,S0_A0_realism_only,flvreg,0.06155231988820547,-0.01416147230011547,0.04241276443209804,0.056574236732213505
vigitel,1,S0_A0_realism_only,years_schooling,0.07843249699607197,-0.053009116724690566,0.04850627616538925,0.10151539289007983
vigitel,1,S1_A0_sep_only,age,0.1071498792709943,0.10816616332476738,0.16288196219109635,0.05471579886632898
vigitel,1,S1_A0_sep_only,sex,0.04776232913659568,-0.02694041908456409,-0.05400867185368289,0.0270682527691188
vigitel,1,S1_A0_sep_only,fumante,0.04560883682979401,-0.040245029775321406,-0.08039181176578113,0.04014678199045972
vigitel,1,S1_A0_sep_only,exfuma,0.11919483304945841,0.010518067732925056,-0.05047908049159567,0.06099714822452072
vigitel,1,S1_A0_sep_only,inativo,0.08200449080781864,0.062425856092667514,-0.005274988620283435,0.06770084471295094
vigitel,1,S1_A0_sep_only,ativo_livre,0.07060341413430496,0.005835148968751584,0.0290905951735282,0.023255446204776615
vigitel,1,S1_A0_sep_only,ati_livre,0.08627399571067013,-0.07288310037128513,-0.046390305141372365,0.02649279522991277
vigitel,1,S1_A0_sep_only,diab,0.06081529152321832,0.11825994387759066,0.23093829675667268,0.11267835287908202
vigitel,1,S1_A0_sep_only,hart,0.0776417654482661,0.1913657166568627,0.32168169720771056,0.13031598055084787
vigitel,1,S1_A0_sep_only,dislipidemia,0.07590898929902906,0.041102217716029094,0.12752050245899427,0.08641828474296517
vigitel,1,S1_A0_sep_only,doces5,0.09929263858232013,0.020966049086472188,0.024917368410956913,0.0039513193244847256
vigitel,1,S1_A0_sep_only,lanche_7,0.10348440545171042,0.029367820895806286,0.016851084523388373,0.012516736372417913
vigitel,1,S1_A0_sep_only,gordura,0.11472858293399105,-0.019213851481238584,-0.014476939932857213,0.0047369115483813715
vigitel,1,S1_A0_sep_only,flvreg,0.060115427493439254,-0.01416147230011547,-0.009018956630179095,0.005142515669936376
vigitel,1,S1_A0_sep_only,years_schooling,0.07282194756163791,-0.053009116724690566,-0.022787408527552257,0.03022170819713831
vigitel,1,S0_A1_anchor_only,age,0.10522779147233777,0.10816616332476738,0.03047216622503568,0.0776939970997317
vigitel,1,S0_A1_anchor_only,sex,0.04383340280830077,-0.02694041908456409,0.00137964179542767,0.028320060879991758
vigitel,1,S0_A1_anchor_only,fumante,0.04354077552642481,-0.040245029775321406,-0.00033550522401999303,0.039909524551301416
vigitel,1,S0_A1_anchor_only,exfuma,0.1055398446252636,0.010518067732925056,0.013371534919710317,0.002853467186785261
vigitel,1,S0_A1_anchor_only,inativo,0.08284945796670673,0.062425856092667514,0.006941624698225997,0.055484231394441516
vigitel,1,S0_A1_anchor_only,ativo_livre,0.08231871760358407,0.005835148968751584,-0.0014744932193103439,0.007309642188061928
vigitel,1,S0_A1_anchor_only,ati_livre,0.0958583872038841,-0.07288310037128513,-0.011792318611420627,0.06109078175986451
vigitel,1,S0_A1_anchor_only,diab,0.060271354533295504,0.11825994387759066,0.05490509613956928,0.06335484773802139
vigitel,1,S0_A1_anchor_only,hart,0.0807771891324215,0.1913657166568627,0.10190153095098524,0.08946418570587746
vigitel,1,S0_A1_anchor_only,dislipidemia,0.08253313843735591,0.041102217716029094,0.16205553091501934,0.12095331319899025
vigitel,1,S0_A1_anchor_only,doces5,0.10822581432407687,0.020966049086472188,0.028705228909594364,0.007739179823122177
vigitel,1,S0_A1_anchor_only,lanche_7,0.11415485162272729,0.029367820895806286,-0.013919515765554625,0.04328733666136091
vigitel,1,S0_A1_anchor_only,gordura,0.1170402576125106,-0.019213851481238584,0.00010100113373661682,0.0193148526149752
vigitel,1,S0_A1_anchor_only,flvreg,0.06082417730908875,-0.01416147230011547,0.03622764783823183,0.0503891201383473
vigitel,1,S0_A1_anchor_only,years_schooling,0.07821689005949886,-0.053009116724690566,0.04124580903922006,0.09425492576391062
vigitel,1,S1_A1_sep_anchor,age,0.10398572253869286,0.10816616332476738,0.1503602747300137,0.04219411140524633
vigitel,1,S1_A1_sep_anchor,sex,0.0494006712410728,-0.02694041908456409,-0.054984840764157376,0.028044421679593288
vigitel,1,S1_A1_sep_anchor,fumante,0.045087745444059225,-0.040245029775321406,-0.07213424369246021,0.03188921391713881
vigitel,1,S1_A1_sep_anchor,exfuma,0.12228390799555046,0.010518067732925056,-0.04394000639243636,0.05445807412536141
vigitel,1,S1_A1_sep_anchor,inativo,0.08672865398323376,0.062425856092667514,-0.013398970531393585,0.07582482662406109
vigitel,1,S1_A1_sep_anchor,ativo_livre,0.0773426577542359,0.005835148968751584,0.032078600289938905,0.02624345132118732
vigitel,1,S1_A1_sep_anchor,ati_livre,0.08914058743093876,-0.07288310037128513,-0.0393271978871485,0.03355590248413663
vigitel,1,S1_A1_sep_anchor,diab,0.058980123063340266,0.11825994387759066,0.24932045606943454,0.1310605121918439
vigitel,1,S1_A1_sep_anchor,hart,0.07877210947590609,0.1913657166568627,0.33905264854226724,0.14768693188540455
vigitel,1,S1_A1_sep_anchor,dislipidemia,0.08012680725204223,0.041102217716029094,0.14810182625349225,0.10699960853746315
vigitel,1,S1_A1_sep_anchor,doces5,0.10067371832009735,0.020966049086472188,0.0331129611434104,0.01214691205693821
vigitel,1,S1_A1_sep_anchor,lanche_7,0.10152695887882314,0.029367820895806286,0.030151533083154824,0.0007837121873485384
vigitel,1,S1_A1_sep_anchor,gordura,0.11517645625755099,-0.019213851481238584,-0.013439347202349749,0.005774504278888835
vigitel,1,S1_A1_sep_anchor,flvreg,0.06172513666227112,-0.01416147230011547,0.007195740253887983,0.021357212554003455
vigitel,1,S1_A1_sep_anchor,years_schooling,0.0743053921034729,-0.053009116724690566,-0.021005124409603643,0.032003992315086924
vigitel,2,Standard_CTGAN,age,0.1446930378330694,0.09145825760141449,-0.01694356102679652,0.10840181862821101
vigitel,2,Standard_CTGAN,sex,0.06844428907505465,-0.03590814054136203,-0.10373615787404246,0.06782801733268043
vigitel,2,Standard_CTGAN,fumante,0.04552821814406382,-0.036087557005586475,0.040173894760092616,0.07626145176567908
vigitel,2,Standard_CTGAN,exfuma,0.11610364271891656,-0.003078523830754797,0.03028553081194204,0.03336405464269684
vigitel,2,Standard_CTGAN,inativo,0.08852492625980139,0.056888845693504865,-0.01481238841340616,0.07170123410691102
vigitel,2,Standard_CTGAN,ativo_livre,0.1450045747797003,0.01246258828069567,-0.04309247718193956,0.05555506546263523
vigitel,2,Standard_CTGAN,ati_livre,0.12110590557867687,-0.06719056559288977,0.0005352216061426625,0.06772578719903244
vigitel,2,Standard_CTGAN,diab,0.08967896605615285,0.1282722146357001,-0.029047068784574363,0.15731928342027446
vigitel,2,Standard_CTGAN,hart,0.108014055268684,0.17873219399552812,0.0025427528170577814,0.17618944117847032
vigitel,2,Standard_CTGAN,dislipidemia,0.09688744399441297,0.025020891644273145,-0.014568215035487154,0.0395891066797603
vigitel,2,Standard_CTGAN,doces5,0.14313065750578083,0.017393994629545197,0.011437494144695415,0.005956500484849782
vigitel,2,Standard_CTGAN,lanche_7,0.13942453469990418,0.018858992502001775,0.011988157910835058,0.006870834591166717
vigitel,2,Standard_CTGAN,gordura,0.13599870798427402,-0.02360216508094405,-0.018508648037756655,0.005093517043187397
vigitel,2,Standard_CTGAN,flvreg,0.06739122786753744,-0.018440763546616057,-0.06627754388603481,0.04783678033941875
vigitel,2,Standard_CTGAN,years_schooling,0.08772074859447122,-0.048903780934657255,0.005647102519753815,0.05455088345441107
vigitel,2,S0_A0_realism_only,age,0.11314175060031317,0.09145825760141449,0.018592576698828796,0.07286568090258569
vigitel,2,S0_A0_realism_only,sex,0.04909270011914082,-0.03590814054136203,-0.1061568707928392,0.07024873025147717
vigitel,2,S0_A0_realism_only,fumante,0.03526354701588921,-0.036087557005586475,0.0212979012363663,0.05738545824195278
vigitel,2,S0_A0_realism_only,exfuma,0.10492320621806127,-0.003078523830754797,0.010551718035906392,0.013630241866661189
vigitel,2,S0_A0_realism_only,inativo,0.07767946545695018,0.056888845693504865,-0.014276985578279167,0.07116583127178402
vigitel,2,S0_A0_realism_only,ativo_livre,0.11471259539399327,0.01246258828069567,-0.011128221851071221,0.023590810131766893
