dataset_group,condition,attribute_1,attribute_2,spearman_rho,signed_correlation_percent,absolute_correlation_percent,rho_squared_percent
covid,S0_A1_anchor_only,idade,etilismo,-0.04846747284785851,-4.846747284785851,4.846747284785851,0.23490959242579018
covid,S0_A1_anchor_only,idade,tabagismo,0.09677193064504555,9.677193064504555,9.677193064504555,0.9364806560769507
covid,S0_A1_anchor_only,idade,motivo_cancer,-0.005376831671373159,-0.5376831671373159,0.5376831671373159,0.0028910318822281474
covid,S0_A1_anchor_only,idade,motivo_msk,0.0,0.0,0.0,0.0
covid,S0_A1_anchor_only,idade,motivo_digestivo2,0.028354297946863127,2.8354297946863127,2.8354297946863127,0.08039662120594865
covid,S0_A1_anchor_only,idade,motivo_cardio2,-0.0226525457638763,-2.2652545763876297,2.2652545763876297,0.051313782958451
covid,S0_A1_anchor_only,idade,motivo_procedimentos2,-0.015037980415737031,-1.5037980415737031,1.5037980415737031,0.02261408549840905
covid,S0_A1_anchor_only,idade,motivo_lesao2,0.042877031861728226,4.2877031861728225,4.2877031861728225,0.18384398612716576
covid,S0_A1_anchor_only,idade,motivo_respiratorio,0.0,0.0,0.0,0.0
covid,S0_A1_anchor_only,idade,motivo_neuro,0.006996010983968728,0.6996010983968728,0.6996010983968728,0.004894416968781109
covid,S0_A1_anchor_only,idade,motivo_pele,0.006562230013978987,0.6562230013978987,0.6562230013978987,0.004306286275636666
covid,S0_A1_anchor_only,idade,motivo_genitourinaria,0.025607235446565214,2.5607235446565215,2.5607235446565215,0.0655730507215826
covid,S0_A1_anchor_only,idade,motivo_dm,0.0,0.0,0.0,0.0
covid,S0_A1_anchor_only,idade,motivo_mental_subst,-0.027012808424001757,-2.7012808424001755,2.7012808424001755,0.07296918189518203
covid,S0_A1_anchor_only,idade,motivo_infec2,0.052348340628132206,5.234834062813221,5.234834062813221,0.2740348766518957
covid,S0_A1_anchor_only,idade,motivo_propedeutica,-0.014961790889549187,-1.4961790889549187,1.4961790889549187,0.022385518662259705
covid,S0_A1_anchor_only,idade,n_comorbidades,0.023446211392581604,2.3446211392581606,2.3446211392581606,0.054972482866562346
covid,S0_A1_anchor_only,idade,comorb_hipertensao,0.0908446096079147,9.08446096079147,9.08446096079147,0.8252743094814428
covid,S0_A1_anchor_only,idade,comorb_ic,-0.012098042293100022,-1.2098042293100022,1.2098042293100022,0.014636262732563684
covid,S0_A1_anchor_only,idade,comorb_dac,0.03600112755785166,3.600112755785166,3.600112755785166,0.12960811854367063
covid,S0_A1_anchor_only,idade,comorb_fibrilacao,-0.03328675274872625,-3.328675274872625,3.328675274872625,0.11080079085548344
covid,S0_A1_anchor_only,idade,comorb_avc,0.014398859538365788,1.4398859538365787,1.4398859538365787,0.020732715600558744
covid,S0_A1_anchor_only,idade,comorb_dpoc,0.022335077714773246,2.2335077714773246,2.2335077714773246,0.049885569652496055
covid,S0_A1_anchor_only,idade,comorb_asma,-0.014798361705209429,-1.4798361705209429,1.4798361705209429,0.02189915091582089
covid,S0_A1_anchor_only,idade,comorb_dm,0.035015385341257935,3.5015385341257934,3.5015385341257934,0.1226077210596781
covid,S0_A1_anchor_only,idade,comorb_obesidade,-0.008757743982083458,-0.8757743982083458,0.8757743982083458,0.007669807965571903
covid,S0_A1_anchor_only,idade,comorb_drc,-0.024282110295289903,-2.4282110295289905,2.4282110295289905,0.058962088039262395
covid,S0_A1_anchor_only,idade,comorb_cancer,0.014126435669714657,1.4126435669714656,1.4126435669714656,0.01995561847305866
covid,S0_A1_anchor_only,idade,comorb_reumatologica,-0.01753245120499697,-1.7532451204996968,1.7532451204996968,0.030738684525559966
covid,S0_A1_anchor_only,idade,comorb_cirrose,0.009000046927913962,0.9000046927913962,0.9000046927913962,0.008100084470465355
covid,S0_A1_anchor_only,idade,comorb_hiv,-0.026477804363918257,-2.647780436391826,2.647780436391826,0.07010741239339288
covid,S0_A1_anchor_only,idade,obito,0.05802675478330197,5.8026754783301975,5.8026754783301975,0.3367104270681458
covid,S0_A1_anchor_only,sexo,etilismo,-0.05032543474443056,-5.032543474443056,5.032543474443056,0.25326493822159385
covid,S0_A1_anchor_only,sexo,tabagismo,-0.08610992220698824,-8.610992220698824,8.610992220698824,0.7414918702493566
covid,S0_A1_anchor_only,sexo,motivo_cancer,-0.021161844697265765,-2.1161844697265764,2.1161844697265764,0.04478236709911952
covid,S0_A1_anchor_only,sexo,motivo_msk,0.0,0.0,0.0,0.0
covid,S0_A1_anchor_only,sexo,motivo_digestivo2,0.03367445808915159,3.3674458089151593,3.3674458089151593,0.11339691275980272
covid,S0_A1_anchor_only,sexo,motivo_cardio2,-0.022150427636595554,-2.2150427636595555,2.2150427636595555,0.04906414444840561
covid,S0_A1_anchor_only,sexo,motivo_procedimentos2,0.046014362245563836,4.601436224556384,4.601436224556384,0.21173215328659706
covid,S0_A1_anchor_only,sexo,motivo_lesao2,0.05051670133144324,5.051670133144324,5.051670133144324,0.25519371134102387
covid,S0_A1_anchor_only,sexo,motivo_respiratorio,0.0,0.0,0.0,0.0
covid,S0_A1_anchor_only,sexo,motivo_neuro,-0.004820583785686968,-0.4820583785686968,0.4820583785686968,0.0023238028034828105
covid,S0_A1_anchor_only,sexo,motivo_pele,-0.009814730141840759,-0.9814730141840758,0.9814730141840758,0.009632892775715753
covid,S0_A1_anchor_only,sexo,motivo_genitourinaria,-0.039673472341328994,-3.9673472341328995,3.9673472341328995,0.15739844076181966
covid,S0_A1_anchor_only,sexo,motivo_dm,0.0,0.0,0.0,0.0
covid,S0_A1_anchor_only,sexo,motivo_mental_subst,-0.016330097412723142,-1.6330097412723141,1.6330097412723141,0.026667208150902705
covid,S0_A1_anchor_only,sexo,motivo_infec2,0.002376173586287749,0.2376173586287749,0.2376173586287749,0.0005646200912171582
covid,S0_A1_anchor_only,sexo,motivo_propedeutica,0.013070082925106977,1.3070082925106978,1.3070082925106978,0.017082706766917297
covid,S0_A1_anchor_only,sexo,n_comorbidades,0.0323275322222473,3.2327532222247304,3.2327532222247304,0.10450693395804375
covid,S0_A1_anchor_only,sexo,comorb_hipertensao,0.06594225812519494,6.594225812519494,6.594225812519494,0.43483814066498383
covid,S0_A1_anchor_only,sexo,comorb_ic,-0.06979790359422591,-6.979790359422592,6.979790359422592,0.4871747346148854
covid,S0_A1_anchor_only,sexo,comorb_dac,-0.06788419604625269,-6.788419604625269,6.788419604625269,0.46082640728460694
covid,S0_A1_anchor_only,sexo,comorb_fibrilacao,0.01241022070977406,1.241022070977406,1.241022070977406,0.015401357806530498
covid,S0_A1_anchor_only,sexo,comorb_avc,-0.06742142563815677,-6.742142563815677,6.742142563815677,0.45456486350815034
covid,S0_A1_anchor_only,sexo,comorb_dpoc,0.0026294736642118927,0.26294736642118927,0.26294736642118927,0.0006914131750783918
covid,S0_A1_anchor_only,sexo,comorb_asma,-0.00990078866191922,-0.990078866191922,0.990078866191922,0.009802561612798816
covid,S0_A1_anchor_only,sexo,comorb_dm,0.0027875651190070196,0.27875651190070194,0.27875651190070194,0.000777051929270462
covid,S0_A1_anchor_only,sexo,comorb_obesidade,-0.0128589567581549,-1.28589567581549,1.28589567581549,0.016535276890809754
covid,S0_A1_anchor_only,sexo,comorb_drc,-0.007124949845359062,-0.7124949845359062,0.7124949845359062,0.0050764910298882115
covid,S0_A1_anchor_only,sexo,comorb_cancer,-0.022519424768106408,-2.251942476810641,2.251942476810641,0.05071244918864044
