prevalence,class_sep,overlap,seed,method,classifier,auprc,macro_f1,minority_f1
0.15,0.4,high,2,Random oversampling,LogisticRegression,0.3088682323884659,0.5922274132771608,0.4012539184952978
0.15,0.4,high,2,Random oversampling,RandomForest,0.7401205590720955,0.7629236734775882,0.5815602836879432
0.15,0.4,high,2,SMOTE,LogisticRegression,0.3514626049359206,0.5981596878457864,0.4025974025974026
0.15,0.4,high,2,SMOTE,RandomForest,0.7031357390093002,0.7808835378613538,0.6227544910179641
0.15,0.4,high,2,SepAware-SMOTE,LogisticRegression,0.37558519994478823,0.6174771483664553,0.41155234657039713
0.15,0.4,high,2,SepAware-SMOTE,RandomForest,0.715699909460158,0.7499189552169685,0.5594405594405595
0.15,0.4,high,3,Real only,LogisticRegression,0.2814423621241599,0.45652173913043476,0.0
0.15,0.4,high,3,Real only,RandomForest,0.7061183626565336,0.6666666666666667,0.4
0.15,0.4,high,3,Random oversampling,LogisticRegression,0.2609914719943889,0.589274107673798,0.40718562874251496
0.15,0.4,high,3,Random oversampling,RandomForest,0.742950857288115,0.7863247863247863,0.6282051282051282
0.15,0.4,high,3,SMOTE,LogisticRegression,0.25632202020873257,0.5866477272727273,0.39375
0.15,0.4,high,3,SMOTE,RandomForest,0.7402101638348126,0.812402292860865,0.6842105263157895
0.15,0.4,high,3,SepAware-SMOTE,LogisticRegression,0.25904751660014036,0.5776050424765914,0.3713355048859935
0.15,0.4,high,3,SepAware-SMOTE,RandomForest,0.7299106263366226,0.7635521445045255,0.5850340136054422
0.15,0.4,high,4,Real only,LogisticRegression,0.34999172421296776,0.4990779731924146,0.08080808080808081
0.15,0.4,high,4,Real only,RandomForest,0.6259915663295998,0.6428459538206084,0.3559322033898305
0.15,0.4,high,4,Random oversampling,LogisticRegression,0.2991852924737156,0.5223179054300704,0.3081570996978852
0.15,0.4,high,4,Random oversampling,RandomForest,0.6341102233844707,0.7136787056708612,0.496551724137931
0.15,0.4,high,4,SMOTE,LogisticRegression,0.2878150339908734,0.5288928283529745,0.3161094224924012
0.15,0.4,high,4,SMOTE,RandomForest,0.6406379521373081,0.743442203229672,0.5668449197860963
