dataset,condition,classifier,n,auprc_mean,auprc_sd,macro_f1_mean,macro_f1_sd,minority_f1_mean,minority_f1_sd,minority_recall_mean,minority_recall_sd,auroc_mean,auroc_sd,brier_mean,brier_sd
Kidney mortality,Random oversampling,LogisticRegression,15,0.11833016924973874,0.024690112525905306,0.5010299301668283,0.010266770882034622,0.17867098710208404,0.0145190518311962,0.5917540181691124,0.05302044798800053,0.7077730504546887,0.029694530347305906,0.21715621229719761,0.003954774372772218
Kidney mortality,Random oversampling,RandomForest,15,0.09370455321088748,0.023773112127744717,0.5447548860691062,0.023829608171571363,0.14027696885144275,0.044584707928735305,0.14609829955741904,0.04564013444729765,0.5913504952880431,0.042672816957447846,0.10285346538163678,0.005686568669308077
Kidney mortality,Random undersampling,CatBoost,15,0.11864733410625096,0.01666791422146882,0.49122201427640716,0.01510993837465007,0.17743584136646448,0.016592272505969213,0.6344048450966688,0.05480818460003336,0.6970868826173152,0.03104875505265933,0.22972014957457046,0.0074805187707224765
Kidney mortality,Random undersampling,LogisticRegression,15,0.11740922167684491,0.02203166688610684,0.4912255528550524,0.015104190414521044,0.16913647051250502,0.01842019463272359,0.5793850454227811,0.06456873421671404,0.6913315276795774,0.02968257880665508,0.22531270583937776,0.0054639716500779825
Kidney mortality,Random undersampling,RandomForest,15,0.11705910149481481,0.01485151589986164,0.486126816356591,0.017227760748310287,0.17548555638714566,0.01902507428911342,0.6468436990449571,0.061871714318582696,0.7070371336533203,0.032197551106622216,0.21864541528795436,0.00502610672826372
Kidney mortality,Real only,CatBoost,15,0.1198073157903008,0.01859118306615105,0.48603715477257203,0.0003262337508064673,0.0,0.0,0.0,0.0,0.7006514888918448,0.03660257489897966,0.04987989737806678,0.0012895666665020452
Kidney mortality,Real only,LogisticRegression,15,0.11967126781341769,0.01770049286090036,0.4862133082909344,0.00021559413745995772,0.0,0.0,0.0,0.0,0.7006444182325647,0.026742688803166343,0.04962606161372076,0.0009140565610432411
Kidney mortality,Real only,RandomForest,15,0.12228818229826867,0.02306958276706223,0.48628374430105925,0.00013383769396643682,0.0,0.0,0.0,0.0,0.6941721209533129,0.032627904332277295,0.04978930055252546,0.0013471943585390007
Kidney mortality,SMOTE,CatBoost,15,0.084730516558209,0.019467208483370323,0.5259559788665045,0.022013144178764824,0.09432175567394885,0.04290056752699725,0.07980433263452126,0.03951837799307247,0.5800968330887527,0.03674717461262121,0.089737396061988,0.004545591664263069
Kidney mortality,SMOTE,LogisticRegression,15,0.11396596129131399,0.023405082600415718,0.5030067208126422,0.009938544467388039,0.18146432378231706,0.013469354944677499,0.5992313067784765,0.046710201546524915,0.7052174925335191,0.0305492871919138,0.216241343970404,0.004601005141021272
Kidney mortality,SMOTE,RandomForest,15,0.08579518248915896,0.01927788126568903,0.5329995674371775,0.03314584218522669,0.10682222025293334,0.06340364945445232,0.08737479617982759,0.0508313210583376,0.5911989495353912,0.03265995003404744,0.08903269627798616,0.004728633449831231
Kidney mortality,SepAware CTGAN,CatBoost,15,0.11603088157367163,0.02599822440025251,0.5244192619573573,0.022837484501797227,0.08651359012345353,0.04593759487384638,0.06622408572094103,0.038931926789823865,0.6966745032956176,0.0432502130388072,0.0621119777550059,0.0035851755832111256
Kidney mortality,SepAware CTGAN,LogisticRegression,15,0.10741970846128243,0.023265677873331263,0.528175317631803,0.01877020704186371,0.16571557634419817,0.029572417934730044,0.35853715350570686,0.07465627206485709,0.629753352009226,0.05122455565818622,0.1590993418784317,0.01295183709546581
Kidney mortality,SepAware CTGAN,RandomForest,15,0.11151435999802031,0.02410545476571543,0.5264492330423081,0.024139813780495276,0.09732064962316371,0.047653662951431135,0.08746797111576983,0.046445409180161434,0.6822034347623804,0.03945950351977807,0.0696702724000005,0.004138064870091772
Kidney mortality,SepAware TVAE,CatBoost,15,0.0987261190192228,0.017369556250176204,0.4876025072825326,0.007841655731400067,0.006758036128425557,0.01405805316402245,0.003750291171674812,0.007764214715359963,0.6789189623932457,0.03304485365224421,0.054904080454295484,0.004977743044989768
Kidney mortality,SepAware TVAE,LogisticRegression,15,0.09213184927189166,0.02374179050082696,0.5213310790544793,0.020624149107222968,0.08978113872982085,0.03777009730060108,0.0823899371069182,0.035762325072769933,0.5821228408224454,0.060533860383901954,0.07548945556714677,0.01701516088854523
Kidney mortality,SepAware TVAE,RandomForest,15,0.10153108968620908,0.022054013251297234,0.48778799294422753,0.0054087415218246095,0.00595131735687758,0.012334186617037769,0.003726997437689254,0.007715994444468599,0.6741948592489759,0.04512352119140075,0.054438869128897484,0.004617258746959135
Kidney mortality,Standard CTGAN,CatBoost,15,0.12009771022510753,0.03161915118124705,0.5252561296180391,0.030126926319063774,0.0848351868142209,0.06105074943929452,0.061285814116002764,0.04810881575651241,0.6989623600469858,0.04911962607348926,0.05879450945739306,0.0035592115776314813
Kidney mortality,Standard CTGAN,LogisticRegression,15,0.09573544987710873,0.02399066729794549,0.5152878045611025,0.024324241300679682,0.14060321364861167,0.03974544398476772,0.297158164453762,0.08565609014650583,0.6151393519992217,0.050085602909397654,0.1550470398628162,0.012560515223667964
Kidney mortality,Standard CTGAN,RandomForest,15,0.1183327060506931,0.030191423131106725,0.543720089395435,0.0328918813853955,0.12775610816734717,0.0646727324697673,0.1088283251805264,0.06322454151149424,0.6814956224880236,0.043454084883463064,0.0677558050213703,0.004451918588567165
Kidney mortality,Standard TVAE,CatBoost,15,0.10230898375458916,0.024252168089029913,0.4870220039079044,0.00584146655159648,0.004313319530710833,0.011453629972948753,0.0024924295364546867,0.006577836320410327,0.6779251503065873,0.041885651243349586,0.05371358833957384,0.00495334880025662
Kidney mortality,Standard TVAE,LogisticRegression,15,0.09043625272115835,0.026085977400838026,0.520475535971383,0.02334633108892491,0.08585488552303898,0.03737316373968118,0.07116235732587929,0.02585357133275334,0.5836008992564594,0.07146534795451119,0.07283205142808909,0.01794212324591978
Kidney mortality,Standard TVAE,RandomForest,15,0.10154344234404876,0.02200943931600893,0.4875319500114589,0.005419259658239374,0.004302194466128887,0.011355166279785611,0.002469135802469133,0.006516032875453667,0.6757693663867275,0.04421481872607748,0.053508696830353045,0.004076109101047685
Vigitel,Class weighting,CatBoost,15,0.29385742767250156,0.018558881904535068,0.5657806440945556,0.01371467221253933,0.3743684360482406,0.01731461051428776,0.6145923632610939,0.030957658782230914,0.6855212582095177,0.011259151942250304,0.2106269973810936,0.00419767171506674
Vigitel,Class weighting,LogisticRegression,15,0.2747724825967853,0.015687368731169705,0.5735324777093704,0.008848431583844522,0.36461621068581257,0.015398744426222941,0.5468134388258227,0.036537548582217805,0.6622622663409137,0.0175172931373309,0.2288618814638035,0.0026457659557865467
Vigitel,Class weighting,RandomForest,15,0.2914801643899087,0.019857994894031755,0.5817161531175056,0.011806622631779062,0.29762726844476245,0.023185030095032956,0.28125444329778687,0.03125743624971966,0.6770034770350795,0.015440593211547953,0.16048337461458057,0.0030517783299119625
Vigitel,Random oversampling,CatBoost,15,0.2935584086263902,0.020177475325740435,0.5689767625961066,0.013621100520988968,0.37021209864037347,0.01727354881184282,0.585591101937851,0.027894952575617363,0.6797902641824574,0.013495141659361113,0.20688254183643995,0.004738768118903463
Vigitel,Random oversampling,LogisticRegression,15,0.27434749414666554,0.016178941761042547,0.5726734196979087,0.008294749965410656,0.36298920367395515,0.015614567792122384,0.5436693039789016,0.04074346213451715,0.6614956192999267,0.017989598427227724,0.22857660368171165,0.0028787798795484663
Vigitel,Random oversampling,RandomForest,15,0.2833316138476121,0.0169712594599538,0.5842480770281371,0.01694842336799929,0.3198520392979705,0.029896320465017535,0.3427267515193211,0.03972967696995269,0.667017499297873,0.014069429754016457,0.17016225763721674,0.002959389947915895
Vigitel,Random undersampling,CatBoost,15,0.28518154381702066,0.02482719534199512,0.5490114463980048,0.014711182378428679,0.3715147618523273,0.01632544537319333,0.6612039903680771,0.02895335205828693,0.6816984233381974,0.01569641900884561,0.2293102062905978,0.004936589048488063
Vigitel,Random undersampling,LogisticRegression,15,0.26964010909163355,0.015727151935751457,0.5629458862273519,0.013711623723352438,0.35572110634429294,0.021813549347853248,0.5499506937277835,0.04446452758644007,0.6575139666064014,0.018014559254453263,0.2311867607354762,0.002872189246405939
Vigitel,Random undersampling,RandomForest,15,0.2827056721540406,0.02041475453484913,0.544473938888757,0.011294219205303166,0.36664263201176245,0.014357753322075732,0.6565118679050568,0.03181737376490098,0.6767733962569611,0.016073150969781416,0.22863369796057667,0.004121335296033217
Vigitel,Real only,CatBoost,15,0.29435791297465647,0.018137066709556778,0.46974381072126986,0.01265319913259699,0.03454504962903089,0.02462380482077021,0.01840843939915143,0.013462559013808889,0.6887023328224845,0.01172529178189923,0.13319050779622574,0.001798889073330661
