dataset,condition,auprc_mean,auprc_std,auroc_mean,auroc_std,macro_f1_mean,macro_f1_std,positive_f1_mean,positive_f1_std,positive_precision_mean,positive_precision_std,positive_recall_mean,positive_recall_std,balanced_accuracy_mean,balanced_accuracy_std,brier_mean,brier_std,calibration_intercept_mean,calibration_intercept_std,calibration_slope_mean,calibration_slope_std
Vigitel,Real only,0.2867628016061866,0.023004706414471318,0.6729320252037828,0.021600812953636077,0.4618173772208248,0.009309073299635658,0.017906532071353436,0.018760618472795722,0.22379188712522044,0.20887925135350152,0.009400298130948255,0.0099725346421025,0.5026380849666987,0.004121087839842105,0.13422009172376498,0.0023207614418258027,-0.21917227882614282,0.21872839563761287,0.8478058785331917,0.14299835342600437
Vigitel,SMOTE,0.23271905465746817,0.024799697438607066,0.6217504435336855,0.03625445462869819,0.5030916697235528,0.013108181126177742,0.16898588989455518,0.09060930410127908,0.23719187863908114,0.04004434896545863,0.2040782784848832,0.1934943959373152,0.5270414565131327,0.02211293362877231,0.1764176640666577,0.041394506807100384,-1.0822235978803558,0.3263237695083646,0.5020019215723441,0.19441697212084513
Vigitel,SepAware CTGAN,0.2555048518210797,0.022799059560642293,0.6343873753935986,0.033690321420845895,0.52727013373266,0.02414017506719245,0.2176230752761372,0.08524997835455232,0.2779793881310585,0.05512017566218787,0.253558078202041,0.19162760724332104,0.5472956693534334,0.02835402393293389,0.1753817773481674,0.03852681121294435,-1.084702482339791,0.3423574541359542,0.5548322812339229,0.15196354345285962
Vigitel,SepAware TVAE,0.2519614953938454,0.034180943931327305,0.6371830576358953,0.05343364646716989,0.49233700087276905,0.03318186615779859,0.10254007586525375,0.0902415083948701,0.25568723872688814,0.14456059252755302,0.0885242518059855,0.09374379578895656,0.5136526433406565,0.01802380146362749,0.15255696413657283,0.022883497662450108,-0.7583592164611259,0.4614528250393511,0.519162054387283,0.28684151387328904
Vigitel,Standard CTGAN,0.24686823768416946,0.022917547920086052,0.6226865846274368,0.03842930268876804,0.5114556154660334,0.024788554327551178,0.1830981817975471,0.09824785600667883,0.26997683965907215,0.06937182214876057,0.21893131521614487,0.2007531705978035,0.5355660543700298,0.031163871605978232,0.17606236175067075,0.04198075826418874,-1.0546926531039569,0.3998993580872395,0.6379627246713201,0.20835403217280685
Vigitel,Standard TVAE,0.25273297713207155,0.029420223177977472,0.6383540704942003,0.04883146752130252,0.4942247459974405,0.03440659095193983,0.10731505888596583,0.09553993331975713,0.24927044019778674,0.11603372353707878,0.09571226541298776,0.10331983990090897,0.5158539462364481,0.018663861928202248,0.153150635331389,0.023284903322032417,-0.7686899817386434,0.44870218226575936,0.5206371930203026,0.2798803553412668
Vigitel smoking,Class weighting,0.29461215362218246,0.028232629411898434,0.7304400838894828,0.024110146159520257,0.5741224575561936,0.0168876962549136,0.29783721640093946,0.0605013298991331,0.2862695099897601,0.0791853545072585,0.45206457440918496,0.2174749830197432,0.6279620938016177,0.05194119116425303,0.16480915506745333,0.042590983161318235,-1.4617266191495082,0.5285697042855627,0.9110625752191999,0.13179106489941922
Vigitel smoking,Random oversampling,0.29075643604161727,0.028171867642175406,0.7263936627094046,0.023999592577876896,0.5824829131728915,0.021295546215556953,0.31469770909283695,0.04050341577600618,0.27564941429939116,0.06361198511853625,0.46702071859428274,0.18257252448180003,0.6339189057983762,0.0416603304399893,0.16511123682049295,0.03951872300451156,-1.5133923227044395,0.42277361437489713,0.8553937322733419,0.1256705764814842
Vigitel smoking,Random undersampling,0.2844327293891781,0.02290725652473779,0.7263732480709111,0.026232793875026025,0.5593409555985458,0.015550776988996881,0.3324591684870729,0.022363955345941107,0.22302326456660235,0.015110795554369729,0.6544526036658216,0.054429787379372305,0.6669357258818485,0.026064431717380012,0.21031438444425027,0.007161725252056405,-1.948109443914623,0.04907541273362126,0.9136811273629076,0.1981304857180074
Vigitel smoking,Real only,0.30045575583358275,0.028127607387103983,0.7334898655795328,0.025461349207177613,0.49992613191963003,0.025581369278828325,0.06537530691533606,0.05032612272482893,0.5416520790488799,0.23545004591612023,0.035903488067138695,0.029207333598361165,0.5158607056185123,0.013633047074614275,0.09861251049404883,0.0021385042544580036,-0.09088165736573453,0.18364417490613336,0.9467712031589149,0.11484819613253684
Vigitel smoking,SMOTE,0.22906307266715728,0.046560114023019454,0.6785549291704498,0.05542603273899111,0.5405224033399464,0.017920920385014895,0.18723278098963367,0.05287767630463381,0.28572198337504545,0.10000237408718377,0.1915770609318996,0.12701797048420566,0.5479251123861184,0.021181346220071656,0.13440443121882117,0.03745912583109397,-1.1025315634133983,0.48219685094825443,0.591757982772832,0.2591661890270508
Vigitel smoking,SepAware CTGAN,0.24871690742405703,0.031869588466914414,0.6939261465891438,0.035384902144215365,0.5648491892383256,0.026532340758650547,0.24897559010902523,0.05191481337220184,0.2845396069756058,0.08209413141031274,0.28824780720925486,0.16037268867731755,0.579901920887151,0.03480115430276964,0.14266615667630245,0.038607897700446696,-1.263332039436013,0.3961394818093159,0.6294869063244793,0.15772448493068014
Vigitel smoking,SepAware TVAE,0.2552668796130217,0.043713672464803885,0.7059641434995038,0.04354523074172623,0.52575679988569,0.03878873870748772,0.1297768719188756,0.08607891191104669,0.32744495699036297,0.17504357112004737,0.09906023253780921,0.07389621071258619,0.5313079559476674,0.023183590286431414,0.11064260976315264,0.013319747663679006,-0.6909344792938609,0.5270524611819842,0.6426847930039906,0.2985399964016052
Vigitel smoking,Standard CTGAN,0.21732669085586764,0.044248754286493136,0.6580023141438173,0.054236098589223035,0.5362692358468439,0.027955206667348912,0.19256071757928434,0.05395444036107084,0.26218156569549245,0.10073347565194893,0.21572398519684122,0.1499295043587872,0.5477210637249664,0.028778420056011847,0.14523313761933665,0.04284526122252746,-1.2545599069217925,0.4610151679006646,0.6240020142468925,0.22838674090660435
Vigitel smoking,Standard TVAE,0.2525674348979626,0.0417757783819715,0.7042055288257792,0.0426740769231314,0.5229208304200208,0.036513778215335524,0.12483297580593182,0.08155177905198485,0.32113346853533936,0.17973216623388458,0.09509718215461721,0.07015780378268095,0.5288700556199036,0.021592117850533093,0.11125491335528391,0.013516994171203204,-0.715130919469964,0.5195136951792301,0.6323589761191867,0.2950900097519883
