dataset,repeat,fold,partition_seed,fold_seed,condition,n_train,n_test,positive_rate_train,positive_rate_test,classifier,macro_f1,minority_f1,minority_precision,minority_recall,balanced_accuracy,auprc,auroc,brier,calibration_intercept,calibration_slope
Kidney mortality,0,2,42,116,Random oversampling,7572,1000,0.5,0.053,CatBoost,0.5480225988700566,0.2,0.12994350282485875,0.4339622641509434,0.6356717339762109,0.12967866565114924,0.6649997011416389,0.14806273308972595,-2.495124584040874,0.6576058210760211
Kidney mortality,0,2,42,116,Random undersampling,428,1000,0.5,0.053,LogisticRegression,0.5019081949118274,0.17765042979942694,0.10472972972972973,0.5849056603773585,0.6525373074854057,0.11710487251837827,0.7014205734095754,0.224113435156946,-2.8834427197483663,0.7763782262511432
Kidney mortality,0,2,42,116,Random undersampling,428,1000,0.5,0.053,RandomForest,0.49744296451757686,0.19289340101522842,0.11143695014662756,0.7169811320754716,0.6985116853619174,0.14176266577724933,0.7511306807993463,0.21491349746789712,-2.948160706301086,1.0898020703271405
Kidney mortality,0,2,42,116,Random undersampling,428,1000,0.5,0.053,CatBoost,0.5075172247869003,0.20365535248041775,0.11818181818181818,0.7358490566037735,0.7142814448805562,0.1358338735641144,0.7536610149229943,0.22264330280526423,-2.9922669652707317,0.8362330388262651
Kidney mortality,0,2,42,116,SMOTE,7572,1000,0.5,0.053,LogisticRegression,0.48871448923570265,0.16711590296495957,0.09748427672955975,0.5849056603773585,0.6409216791855114,0.11382725362813384,0.6939291904923194,0.22130550798065618,-2.848638596977704,0.6348370999761176
Kidney mortality,0,2,42,116,SMOTE,7572,1000,0.5,0.053,RandomForest,0.5355099688968068,0.11235955056179775,0.1388888888888889,0.09433962264150944,0.5308023350799944,0.0811525753167951,0.5737881293458986,0.09115964439056239,-2.4147074445082244,0.3173862849341199
Kidney mortality,0,2,42,116,SMOTE,7572,1000,0.5,0.053,CatBoost,0.5435735150925024,0.1346153846153846,0.13725490196078433,0.1320754716981132,0.5428064792492678,0.07895623376090741,0.5715765774740491,0.09383167140155996,-2.4164471403220618,0.3341821833569508
Kidney mortality,0,2,42,116,Standard CTGAN,7572,1000,0.5,0.053,LogisticRegression,0.4994563059875382,0.11353711790393013,0.07386363636363637,0.24528301886792453,0.5365802633938356,0.06806391269608049,0.4599828654539659,0.1613213209653588,-2.847531946080912,0.04087456947826382
Kidney mortality,0,2,42,116,Standard CTGAN,7572,1000,0.5,0.053,RandomForest,0.5303218676612792,0.10526315789473684,0.11904761904761904,0.09433962264150944,0.5276344364527505,0.1109295908445479,0.7193520750732203,0.06812964794106634,-1.7630432763075923,0.5329956748729595
Kidney mortality,0,2,42,116,Standard CTGAN,7572,1000,0.5,0.053,CatBoost,0.5189741629820966,0.0759493670886076,0.11538461538461539,0.05660377358490566,0.5161582753880178,0.1115118338829983,0.7259668067980315,0.061857677640325875,-1.634640448035978,0.5400367341793977
