dataset,task,repeat,fold,condition,regime,generator_seed,seconds,marginal_similarity,correlation_similarity,detection_auroc,coverage_distance,diversity,exact_match_rate,membership_proxy_auroc
COVID-19 hospital mortality,covid_mortality,0,2,Standard TVAE,TSTR,20116,1.3720250129699707,0.8773124503461583,0.9511360258473603,0.9907068411676415,5.89425941391203,0.6456657008291153,0.0,0.5371177818771312
COVID-19 hospital mortality,covid_mortality,0,2,SepAware TVAE,TSTR,20116,1.9181458950042725,0.8838951310861424,0.9516561679410019,0.9910084304731446,6.099426742062785,0.4533755146220599,0.0,0.5392140421488066
COVID-19 hospital mortality,covid_mortality,0,3,Standard CTGAN,TSTR,10153,2.933716058731079,0.9462036091249575,0.9547766429155718,0.8277293832148017,4.584380734773574,13.847503334956494,0.0,0.434820280619375
COVID-19 hospital mortality,covid_mortality,0,3,SepAware CTGAN,TSTR,10153,3.6100831031799316,0.947565543071161,0.9635811991672969,0.7584480074064722,4.133317042957861,8.212692099619847,0.0,0.4719380624965062
COVID-19 hospital mortality,covid_mortality,0,3,Standard TVAE,TSTR,20153,1.3794090747833252,0.8778799228237429,0.9515340951611007,0.9854886448119626,5.881544102777495,1.024575626119179,0.0,0.4803231035832076
COVID-19 hospital mortality,covid_mortality,0,3,SepAware TVAE,TSTR,20153,2.1225759983062744,0.8843491090682102,0.9517682639900401,0.9890866753636607,5.805668592776129,1.3749352961194772,0.003745318352059925,0.4821119123483705
COVID-19 hospital mortality,covid_mortality,0,4,Standard CTGAN,TSTR,10190,2.3992838859558105,0.9402985074626867,0.9550201863680892,0.8482540654934285,4.782311498781114,11.586999735820104,0.0,0.5562528267752148
COVID-19 hospital mortality,covid_mortality,0,4,SepAware CTGAN,TSTR,10190,3.1543710231781006,0.9401854364540931,0.9602593595250211,0.8052043885052351,4.766208689957256,8.856876666385054,0.0037313432835820895,0.6009724106739033
COVID-19 hospital mortality,covid_mortality,0,4,Standard TVAE,TSTR,20190,1.3565177917480469,0.8738127544097694,0.9498392568301619,0.9885762419247048,5.958902062954421,1.0873062436121974,0.0,0.5693407960199004
COVID-19 hospital mortality,covid_mortality,0,4,SepAware TVAE,TSTR,20190,1.9094657897949219,0.8824061510628673,0.9509303359147185,0.9887085096903542,6.095623773220115,0.9952433795247289,0.0,0.5716587516960651
COVID-19 hospital mortality,covid_mortality,1,0,Standard CTGAN,TSTR,10043,2.512044906616211,0.9431392577459992,0.9572759028741435,0.8167739763497874,4.475227413480571,11.214162969142428,0.0,0.4871708871373469
COVID-19 hospital mortality,covid_mortality,1,0,SepAware CTGAN,TSTR,10043,3.1816139221191406,0.9405288843491091,0.9611537347391983,0.796686725862335,3.980044628934579,7.32069186763073,0.0,0.49726088657834416
COVID-19 hospital mortality,covid_mortality,1,0,Standard TVAE,TSTR,20043,1.3874459266662598,0.8770854613551242,0.9506611213874312,0.9889814697919735,5.705891774895411,0.48711229832218506,0.0,0.47822684331153226
COVID-19 hospital mortality,covid_mortality,1,0,SepAware TVAE,TSTR,20043,2.075178861618042,0.8894563613664737,0.9518568866634136,0.988146838923256,5.5951949668974335,0.44545392539510176,0.0,0.4750684778355414
COVID-19 hospital mortality,covid_mortality,1,1,Standard CTGAN,TSTR,10080,2.64001202583313,0.9507433889456361,0.9592973897776741,0.787568909649455,4.543977397219397,10.20663310789784,0.0,0.46495052825758854
COVID-19 hospital mortality,covid_mortality,1,1,SepAware CTGAN,TSTR,10080,3.3202638626098633,0.95471569628873,0.9638969503245698,0.7360532480466833,4.376635821944314,7.528733666949228,0.0,0.5340432668120074
COVID-19 hospital mortality,covid_mortality,1,1,Standard TVAE,TSTR,20080,1.4184231758117676,0.8840086255816592,0.9534755082885141,0.9872911669402011,5.569625337112483,1.1709674245118544,0.0,0.48596903124825314
COVID-19 hospital mortality,covid_mortality,1,1,SepAware TVAE,TSTR,20080,1.9878993034362793,0.8858245375099307,0.9529352996382046,0.99194125320877,5.702139797702788,1.1486505715405906,0.0,0.487590139191682
COVID-19 hospital mortality,covid_mortality,1,2,Standard CTGAN,TSTR,10117,2.476285934448242,0.9491544660083986,0.9562909431715612,0.816605647435088,4.576020314101631,9.405092077371787,0.0,0.5173011347755604
COVID-19 hospital mortality,covid_mortality,1,2,SepAware CTGAN,TSTR,10117,3.16282320022583,0.9391669504029055,0.9618577617806605,0.7834378375345424,4.311828325541521,7.540019187081525,0.003745318352059925,0.5323103583207559
COVID-19 hospital mortality,covid_mortality,1,2,Standard TVAE,TSTR,20117,1.3609578609466553,0.881511746680286,0.950934991085034,0.9856359326123245,5.796877709021862,1.4748486078728837,0.0,0.5418693051595953
COVID-19 hospital mortality,covid_mortality,1,2,SepAware TVAE,TSTR,20117,1.928633689880371,0.89183974577233,0.9503239672792133,0.9911697456830646,6.082628481377734,0.4865830427477303,0.0,0.5428196098160881
COVID-19 hospital mortality,covid_mortality,1,3,Standard CTGAN,TSTR,10154,2.721123218536377,0.9430257632504825,0.955233512884339,0.8611216316682799,4.582928391047733,10.67866245115866,0.0,0.5381798870814467
COVID-19 hospital mortality,covid_mortality,1,3,SepAware CTGAN,TSTR,10154,3.4085910320281982,0.944160708205652,0.961057209689069,0.7869797584480073,4.601377731036752,7.704123657936347,0.0,0.5148974229973727
COVID-19 hospital mortality,covid_mortality,1,3,Standard TVAE,TSTR,20154,1.4718608856201172,0.8867324934740664,0.9516190466940119,0.9868002076056613,5.9296084702790015,0.7877760842934386,0.0,0.521325954497177
COVID-19 hospital mortality,covid_mortality,1,3,SepAware TVAE,TSTR,20154,2.2774269580841064,0.8716377255703098,0.9502585046322718,0.9880135785324523,5.949483556816318,1.168300626490115,0.0,0.5202358991559058
COVID-19 hospital mortality,covid_mortality,1,4,Standard CTGAN,TSTR,10191,2.8004748821258545,0.9382632293080054,0.9546676863297601,0.8703218979728224,4.788228915370133,10.757991634189407,0.0,0.509469696969697
COVID-19 hospital mortality,covid_mortality,1,4,SepAware CTGAN,TSTR,10191,3.5013818740844727,0.9449344188150158,0.9618783622447202,0.8047588549788371,4.387763761150659,8.271761842867802,0.0,0.5356456354590682
COVID-19 hospital mortality,covid_mortality,1,4,Standard TVAE,TSTR,20191,1.3950181007385254,0.8842152872003618,0.9520401530001603,0.9910057919358431,5.961963846017086,0.9182402766848985,0.0,0.5341757123473542
COVID-19 hospital mortality,covid_mortality,1,4,SepAware TVAE,TSTR,20191,1.964097023010254,0.8732473993668023,0.9510694215578944,0.988576241924705,6.143180954665807,1.1354676363557186,0.0,0.532310040705563
COVID-19 hospital mortality,covid_mortality,2,0,Standard CTGAN,TSTR,10044,2.613732099533081,0.9432527522415163,0.9549978082789787,0.8778773723856417,4.956326680014173,14.365385634050957,0.0,0.47397842249427025
COVID-19 hospital mortality,covid_mortality,2,0,SepAware CTGAN,TSTR,10044,3.2995619773864746,0.9462036091249575,0.9599037780877393,0.81365989142785,4.4378834303647565,9.232694103290429,0.0,0.4854100285091397
COVID-19 hospital mortality,covid_mortality,2,0,Standard TVAE,TSTR,20044,1.3380820751190186,0.8734536374985813,0.9512118340158061,0.993308925640702,5.941624237035161,1.3480070962323187,0.0,0.495751579182738
COVID-19 hospital mortality,covid_mortality,2,0,SepAware TVAE,TSTR,20044,1.8935298919677734,0.874929065940302,0.9507925522008672,0.9928670622396162,6.006553570623119,1.5573282190787896,0.0,0.5016490580803846
COVID-19 hospital mortality,covid_mortality,2,1,Standard CTGAN,TSTR,10081,2.9863381385803223,0.9416638293042787,0.9563631792777127,0.8771760019077277,4.744217897981569,11.464468645355733,0.0,0.45142266197104364
COVID-19 hospital mortality,covid_mortality,2,1,SepAware CTGAN,TSTR,10081,3.724457263946533,0.9465440926115084,0.964364358412784,0.8160726058718737,4.560809535496097,7.822461685538332,0.0,0.4843758734417798
COVID-19 hospital mortality,covid_mortality,2,1,Standard TVAE,TSTR,20081,1.433600664138794,0.8825331971399387,0.9511008383028364,0.989205908344906,5.990235980079883,0.3305578131789626,0.0,0.4963664821957628
COVID-19 hospital mortality,covid_mortality,2,1,SepAware TVAE,TSTR,20081,2.0029399394989014,0.8773124503461582,0.9512323286565744,0.9868142350152197,5.99799583265564,0.1454635243221553,0.0,0.49614288110011734
COVID-19 hospital mortality,covid_mortality,2,2,Standard CTGAN,TSTR,10118,2.664039134979248,0.9404153898535922,0.9572814797324259,0.8477885788831374,4.7321227382266295,10.863429097316185,0.0,0.5330091117446475
COVID-19 hospital mortality,covid_mortality,2,2,SepAware CTGAN,TSTR,10118,3.3576090335845947,0.9496084439904665,0.958318193039179,0.783514988287113,4.445412775358536,7.918205467342879,0.0,0.5457543741964337
COVID-19 hospital mortality,covid_mortality,2,2,Standard TVAE,TSTR,20118,1.390542984008789,0.8724321870389286,0.9506525274179791,0.9887640449438203,5.804920884490186,0.5403205738610661,0.0,0.49214601151545645
COVID-19 hospital mortality,covid_mortality,2,2,SepAware TVAE,TSTR,20118,1.94486403465271,0.8773124503461582,0.9500003202763816,0.9852852473733676,5.949542506509459,0.3462284234967138,0.0,0.48907149645033265
COVID-19 hospital mortality,covid_mortality,2,3,Standard CTGAN,TSTR,10155,2.4635109901428223,0.9353081375553286,0.9562419370044025,0.85216513066532,4.6947650168141735,10.569817696795168,0.003745318352059925,0.5575772821286825
COVID-19 hospital mortality,covid_mortality,2,3,SepAware CTGAN,TSTR,10155,3.1396307945251465,0.9452956531608218,0.9605792555469544,0.8108053135827407,4.658279295860358,8.110629365693587,0.0,0.5917043993515568
COVID-19 hospital mortality,covid_mortality,2,3,Standard TVAE,TSTR,20155,1.3954691886901855,0.8728861650209965,0.9511529909723005,0.9857200970696742,5.98188117599599,1.1509353532317737,0.0,0.5597294426742692
COVID-19 hospital mortality,covid_mortality,2,3,SepAware TVAE,TSTR,20155,1.9371111392974854,0.8791283622744296,0.9508318547755606,0.9910996086352734,6.291379757499893,0.423879193618838,0.0,0.56101514897423
COVID-19 hospital mortality,covid_mortality,2,4,Standard CTGAN,TSTR,10192,2.8438799381256104,0.9386024423337856,0.9566483952499494,0.834358988638895,4.930677585004856,10.356937064574945,0.0,0.5154907281772954
COVID-19 hospital mortality,covid_mortality,2,4,SepAware CTGAN,TSTR,10192,3.555860996246338,0.9438037087290819,0.9611775565818521,0.7724298284695923,4.839200220479924,7.76992208764311,0.0,0.5094414292175486
COVID-19 hospital mortality,covid_mortality,2,4,Standard TVAE,TSTR,20192,1.4963009357452393,0.8782225237449117,0.9517336427681364,0.9890635442192025,5.850852340127775,1.3333056590694568,0.0,0.5582881049298959
COVID-19 hospital mortality,covid_mortality,2,4,SepAware TVAE,TSTR,20192,2.224483013153076,0.882858435097241,0.951973742268933,0.9854575072399198,5.898404307896742,1.3014472456053805,0.0,0.5550090456806874
Vigitel current smoking,vigitel_smoking,0,0,Standard CTGAN,TSTR,10042,38.239540100097656,0.8442500000000001,0.9584696652901534,0.9657114375,4.221942542770232,7.291929795232852,0.0,0.5009534999999999
Vigitel current smoking,vigitel_smoking,0,0,SepAware CTGAN,TSTR,10042,43.43752694129944,0.8176574074074074,0.962413467889069,0.9630949375,4.089274906779027,6.444441353405734,0.0,0.508966
Vigitel current smoking,vigitel_smoking,0,0,Standard TVAE,TSTR,20042,26.130321264266968,0.6403611111111112,0.9416528621565434,0.9994016875,5.238806585558143,2.271671234980198,0.0,0.5016115
Vigitel current smoking,vigitel_smoking,0,0,SepAware TVAE,TSTR,20042,29.28056812286377,0.639824074074074,0.9417820212304486,0.9994800624999999,5.273872062451689,2.1715528852068906,0.0,0.5007485
Vigitel current smoking,vigitel_smoking,0,1,Standard CTGAN,TSTR,10079,28.18649387359619,0.8561018518518521,0.9585300713183889,0.958715625,4.267951624533756,7.516837848732849,0.0,0.48956674999999994
Vigitel current smoking,vigitel_smoking,0,1,SepAware CTGAN,TSTR,10079,32.85736703872681,0.8273518518518517,0.9628981214223824,0.9359315624999999,4.233554027107575,6.67474762250361,0.0,0.5111297499999999
Vigitel current smoking,vigitel_smoking,0,1,Standard TVAE,TSTR,20079,20.64629626274109,0.6452129629629629,0.9371872559259059,0.9989023125000001,5.26205253880091,2.5356954876828,0.0,0.49739175
Vigitel current smoking,vigitel_smoking,0,1,SepAware TVAE,TSTR,20079,24.264177083969116,0.6208796296296297,0.933924625486982,0.99898140625,5.26964192001225,2.256773390554321,0.0,0.4984075
Vigitel current smoking,vigitel_smoking,0,2,Standard CTGAN,TSTR,10116,38.11193084716797,0.8469166666666667,0.9583219871048988,0.978332875,4.316236074525363,7.021532368939945,0.0,0.5041335
Vigitel current smoking,vigitel_smoking,0,2,SepAware CTGAN,TSTR,10116,42.942444801330566,0.8019259259259259,0.9623697980467504,0.9711963124999999,4.143929382832181,6.1474791176026065,0.0,0.5154975
Vigitel current smoking,vigitel_smoking,0,2,Standard TVAE,TSTR,20116,22.455777883529663,0.6424074074074075,0.9385643009729022,0.9989890625000001,5.190338185327921,2.457198749204129,0.0,0.49367825
