dataset,condition,classifier,n,auprc_mean,auprc_sd,macro_f1_mean,macro_f1_sd,minority_f1_mean,minority_f1_sd,minority_recall_mean,minority_recall_sd,auroc_mean,auroc_sd,brier_mean,brier_sd
Kidney mortality,SepAware CTGAN,CatBoost,15,0.11266175566288042,0.020560105623173234,0.5240268875172686,0.022086904212340608,0.08746753343292846,0.04311378159171253,0.06862334032145354,0.037065938872130846,0.6922333328295808,0.040657101800737366,0.06420727390261213,0.003791947144766436
Kidney mortality,SepAware CTGAN,LogisticRegression,15,0.10537011685382537,0.02329310037206364,0.5155738241392969,0.01583055621511491,0.14885385026941259,0.023693687338592385,0.33848124854414163,0.07267230631990083,0.6259592733254856,0.0440174377988183,0.16040222546657693,0.016830312075044613
Kidney mortality,SepAware CTGAN,RandomForest,15,0.11076836502406716,0.020565763405169097,0.5398769064141985,0.0203721402433828,0.12606101916564127,0.0368342701555863,0.11740041928721173,0.03141852045465527,0.6816855861360003,0.04416206706066946,0.07219561671908532,0.0038619501749997467
Kidney mortality,SepAware TVAE,CatBoost,15,0.10631862291569459,0.01924212779795228,0.5013205073097114,0.018124357248822415,0.0355073016259643,0.03568658257762398,0.022455159562077796,0.022645432465516716,0.6775182558531713,0.043532966739695804,0.05580605243445773,0.005349648494242195
Kidney mortality,SepAware TVAE,LogisticRegression,15,0.09797693277484623,0.02148722254397596,0.5277651563259682,0.018161058804344984,0.11012019685148841,0.04079288530047398,0.12709061262520385,0.08250754818970508,0.5997322742848055,0.04130591865454024,0.08316606725455915,0.02468159866074594
Kidney mortality,SepAware TVAE,RandomForest,15,0.10444702652973918,0.021248649598956868,0.49572091037936933,0.013752099841604078,0.022690092051713365,0.0275702808453359,0.013696715583508035,0.016516965733593268,0.6778745859389158,0.047443922335910604,0.055169459980346176,0.005097599427898212
Kidney mortality,Standard CTGAN,CatBoost,15,0.11131036799552002,0.01895888799341512,0.5216889655437309,0.017768890590726033,0.07901126280381389,0.03390564704386565,0.054996505939902164,0.02301643537979949,0.6953550027442138,0.03763072324214948,0.06004853301864767,0.0031636318660122854
Kidney mortality,Standard CTGAN,LogisticRegression,15,0.09186492171989506,0.019064319398710575,0.5074290531384412,0.01047159678188172,0.1260235828223856,0.020048405424955083,0.2684835779175402,0.06240755766128458,0.5909979995619092,0.07507686737461897,0.15355459368419727,0.015703277832429995
Kidney mortality,Standard CTGAN,RandomForest,15,0.10962885916524398,0.020841464354156902,0.5358617936999422,0.018688191323700743,0.1139150932272052,0.036075426098749454,0.09739110179361753,0.03431009100305509,0.6737970913395172,0.040419812070079046,0.06953659667091047,0.0034504464900154638
Kidney mortality,Standard TVAE,CatBoost,15,0.10817376370620227,0.017182859648686908,0.49500359807011773,0.0155900988191236,0.020965712649018895,0.030883006128868712,0.012415560214302351,0.01814984016126916,0.6843425088469097,0.03805139369413418,0.053845349518157205,0.004062135047918226
Kidney mortality,Standard TVAE,LogisticRegression,15,0.0958111921398615,0.01974480188274526,0.523562108879628,0.017234741571962708,0.09855696470530041,0.04117969414131517,0.1095737246680643,0.08728836692104146,0.5986977341757159,0.03835225003239324,0.07815510405847642,0.02467084818083974
Kidney mortality,Standard TVAE,RandomForest,15,0.10391741190058713,0.019158085245031046,0.489349941965223,0.007394444164443264,0.008686801127422922,0.014967276549154303,0.004961565338923829,0.008516992264130743,0.6765892303433353,0.042956451727643646,0.05397920462536222,0.004338925483011047
Vigitel,Class weighting,CatBoost,15,0.29332444827324644,0.01800599717889255,0.561355486714401,0.013520852996235105,0.36728502471635693,0.017245389716963353,0.6012315101479188,0.031138986265161584,0.6816273369829027,0.013044122599283699,0.21139086032227186,0.005737555937621159
Vigitel,Class weighting,LogisticRegression,15,0.2732599074909424,0.01876866824245768,0.5741121007935441,0.016450190236782437,0.3654352808106966,0.024306879426697778,0.5475381263616559,0.04544801141259299,0.6608505201629981,0.02155743637573089,0.22912760771361498,0.004692756645885812
