dataset,task,repeat,fold,partition_seed,generator_seed,condition,regime,classifier,macro_f1,minority_f1,minority_precision,minority_recall,balanced_accuracy,auprc,auroc,brier,calibration_intercept,calibration_slope
Kidney-cohort 365-day mortality,kidney_mortality,0,4,42,20190,SepAware TVAE,TSTR,RandomForest,0.5156053623795559,0.1590909090909091,0.1,0.3888888888888889,0.5945501526896876,0.10971905590444919,0.646268890454937,0.14809652100558116,-2.4918056358267417,0.25279106996360745
Kidney-cohort 365-day mortality,kidney_mortality,0,4,42,20190,SepAware TVAE,TSTR,CatBoost,0.49745697586424686,0.1461794019933555,0.08906882591093117,0.4074074074074074,0.5847819278051836,0.09408873168590201,0.6248531829927179,0.23434519176861307,-2.692116430706065,0.07434960607021833
Kidney-cohort 365-day mortality,kidney_mortality,1,0,43,10043,Standard CTGAN,TSTR,LogisticRegression,0.48638931689779147,0.0,0.0,0.0,0.5,0.0560042279736018,0.5141957721503855,0.05053154565596066,-2.4804336638319566,0.12365857482421212
Kidney-cohort 365-day mortality,kidney_mortality,1,0,43,10043,Standard CTGAN,TSTR,RandomForest,0.48638931689779147,0.0,0.0,0.0,0.5,0.0641859522484822,0.4740192464784523,0.051111306577790706,-3.6908553404331075,-0.28259829326586683
Kidney-cohort 365-day mortality,kidney_mortality,1,0,43,10043,Standard CTGAN,TSTR,CatBoost,0.48638931689779147,0.0,0.0,0.0,0.5,0.05957995857620098,0.5485545217270028,0.050609782499732504,-2.039346467322957,0.27336296063320004
Kidney-cohort 365-day mortality,kidney_mortality,1,0,43,10043,SepAware CTGAN,TSTR,LogisticRegression,0.48638931689779147,0.0,0.0,0.0,0.5,0.07008671547453688,0.5259309437947042,0.05570402612052139,-2.546490758447456,0.12872649923533017
Kidney-cohort 365-day mortality,kidney_mortality,1,0,43,10043,SepAware CTGAN,TSTR,RandomForest,0.48638931689779147,0.0,0.0,0.0,0.5,0.052890320178802144,0.47376023589886634,0.05774888251031195,-2.7240614485253425,0.06939281543183566
Kidney-cohort 365-day mortality,kidney_mortality,1,0,43,10043,SepAware CTGAN,TSTR,CatBoost,0.48480164863472436,0.0,0.0,0.0,0.4968321013727561,0.07455431660433912,0.5809208822298818,0.0560729911645968,-2.2195185406613245,0.2609007058258685
Kidney-cohort 365-day mortality,kidney_mortality,1,0,43,20043,Standard TVAE,TSTR,LogisticRegression,0.5025550581106137,0.15384615384615385,0.09349593495934959,0.4339622641509434,0.5992408997629057,0.07233812953969743,0.6035245362714431,0.2405512279372978,-2.7947816742577736,0.03919015282658723
Kidney-cohort 365-day mortality,kidney_mortality,1,0,43,20043,Standard TVAE,TSTR,RandomForest,0.5333041349253645,0.17721518987341772,0.11413043478260869,0.39622641509433965,0.6120519615070431,0.11552205197197137,0.6951445478272997,0.12335837351116342,-2.338342984925336,0.2452528954561458
Kidney-cohort 365-day mortality,kidney_mortality,1,0,43,20043,Standard TVAE,TSTR,CatBoost,0.5373858964698252,0.18487394957983194,0.11891891891891893,0.41509433962264153,0.621485923771194,0.1067960587921998,0.6684664581299437,0.17549026222778127,-2.4267194589624705,0.08932845206587915
Kidney-cohort 365-day mortality,kidney_mortality,1,0,43,20043,SepAware TVAE,TSTR,LogisticRegression,0.5001895832615215,0.13432835820895522,0.08372093023255814,0.33962264150943394,0.565798649160208,0.0663655914988574,0.5505767966368472,0.21901435116379606,-2.7932549889995646,0.027595364928942073
Kidney-cohort 365-day mortality,kidney_mortality,1,0,43,20043,SepAware TVAE,TSTR,RandomForest,0.5210882249983356,0.17100371747211895,0.10648148148148148,0.4339622641509434,0.6150803928991253,0.1082855661139554,0.6884800063756451,0.15308662509922674,-2.4511067033273024,0.20731152978037048
Kidney-cohort 365-day mortality,kidney_mortality,1,0,43,20043,SepAware TVAE,TSTR,CatBoost,0.5425811492293486,0.17435897435897435,0.11971830985915492,0.32075471698113206,0.5943794704229842,0.0947539487533137,0.657438584606802,0.15288504246181253,-2.478510087475615,0.08856043879668671
Kidney-cohort 365-day mortality,kidney_mortality,1,1,43,10080,Standard CTGAN,TSTR,LogisticRegression,0.48638931689779147,0.0,0.0,0.0,0.5,0.08853102387618722,0.6766153294415334,0.04978958076851316,-0.27743835145314655,0.8757467173389271
Kidney-cohort 365-day mortality,kidney_mortality,1,1,43,10080,Standard CTGAN,TSTR,RandomForest,0.48638931689779147,0.0,0.0,0.0,0.5,0.08226219671600765,0.6205295770157996,0.05018720389020295,-1.1694241796085187,0.5668704280782418
Kidney-cohort 365-day mortality,kidney_mortality,1,1,43,10080,Standard CTGAN,TSTR,CatBoost,0.48638931689779147,0.0,0.0,0.0,0.5,0.09239073286877945,0.6433025841286286,0.05004024291978984,-0.6484168234081105,0.7417934568478258
Kidney-cohort 365-day mortality,kidney_mortality,1,1,43,10080,SepAware CTGAN,TSTR,LogisticRegression,0.49762513701132627,0.029411764705882353,0.06666666666666667,0.018867924528301886,0.5020421988005818,0.10201781328894975,0.5556972365563547,0.058283571432042165,-2.2849659889346423,0.22219194450690236
Kidney-cohort 365-day mortality,kidney_mortality,1,1,43,10080,SepAware CTGAN,TSTR,RandomForest,0.48638931689779147,0.0,0.0,0.0,0.5,0.09622435805709403,0.6798629236317268,0.05645438241860439,-1.5472578124543401,0.558264821622231
Kidney-cohort 365-day mortality,kidney_mortality,1,1,43,10080,SepAware CTGAN,TSTR,CatBoost,0.5364206922784328,0.11363636363636363,0.14285714285714285,0.09433962264150944,0.5313303181845351,0.12679522563405135,0.6518897810364408,0.06242568927013319,-1.8738212567503654,0.3783009102675928
Kidney-cohort 365-day mortality,kidney_mortality,1,1,43,20080,Standard TVAE,TSTR,LogisticRegression,0.5123278665556606,0.12560386473429952,0.08441558441558442,0.24528301886792453,0.54819589169373,0.08668343571172728,0.5809408061206193,0.17366750485245244,-2.730958559275299,0.035159902477980134
Kidney-cohort 365-day mortality,kidney_mortality,1,1,43,20080,Standard TVAE,TSTR,RandomForest,0.54369342835572,0.1791044776119403,0.12162162162162163,0.33962264150943394,0.6011735171644319,0.12622769000780465,0.7383295810005779,0.10450606425333275,-2.1672758460747934,0.359949819571377
Kidney-cohort 365-day mortality,kidney_mortality,1,1,43,20080,Standard TVAE,TSTR,CatBoost,0.5345241100732139,0.1323529411764706,0.10843373493975904,0.16981132075471697,0.54583491064135,0.1015929135976576,0.7243728955390408,0.09857939781930115,-2.075563457200748,0.1459112856288837
Kidney-cohort 365-day mortality,kidney_mortality,1,1,43,20080,SepAware TVAE,TSTR,LogisticRegression,0.5087705910968247,0.13445378151260504,0.08648648648648649,0.3018867924528302,0.5617142515590444,0.08330389259656672,0.5638560698133132,0.19105499624422378,-2.764096922619702,0.040199032212157274
Kidney-cohort 365-day mortality,kidney_mortality,1,1,43,20080,SepAware TVAE,TSTR,RandomForest,0.539382772915707,0.15568862275449102,0.11403508771929824,0.24528301886792453,0.5693152158753562,0.12780413139019808,0.7355402362973442,0.09820882302525888,-2.1127652556087684,0.4242622337539675
Kidney-cohort 365-day mortality,kidney_mortality,1,1,43,20080,SepAware TVAE,TSTR,CatBoost,0.5277777777777778,0.15,0.10204081632653061,0.2830188679245283,0.5718156641628978,0.09947712174019896,0.722101571994979,0.1374974954755134,-2.239748477101974,0.15175518818803987
Kidney-cohort 365-day mortality,kidney_mortality,1,2,43,10117,Standard CTGAN,TSTR,LogisticRegression,0.48638931689779147,0.0,0.0,0.0,0.5,0.05457924133653383,0.45741268354884346,0.050727825006861786,-2.4515520843668495,0.137422269994254
Kidney-cohort 365-day mortality,kidney_mortality,1,2,43,10117,Standard CTGAN,TSTR,RandomForest,0.48638931689779147,0.0,0.0,0.0,0.5,0.0509009272442543,0.5132991970672033,0.051551832335957254,-2.669028159748241,0.05991214629971484
Kidney-cohort 365-day mortality,kidney_mortality,1,2,43,10117,Standard CTGAN,TSTR,CatBoost,0.48638931689779147,0.0,0.0,0.0,0.5,0.05421455692038584,0.543962064912036,0.05079505389199895,-2.168538287197428,0.22022017390017373
Kidney-cohort 365-day mortality,kidney_mortality,1,2,43,10117,SepAware CTGAN,TSTR,LogisticRegression,0.48638931689779147,0.0,0.0,0.0,0.5,0.059086776181738236,0.47960789783028834,0.05790507202006159,-2.7336832184503077,0.046862919153239126
Kidney-cohort 365-day mortality,kidney_mortality,1,2,43,10117,SepAware CTGAN,TSTR,RandomForest,0.48638931689779147,0.0,0.0,0.0,0.5,0.0794642412666853,0.5294176246737463,0.0519692684008278,-2.514869187472907,0.13598918951526873
Kidney-cohort 365-day mortality,kidney_mortality,1,2,43,10117,SepAware CTGAN,TSTR,CatBoost,0.48638931689779147,0.0,0.0,0.0,0.5,0.11068569400143684,0.5494809826462912,0.05202471155630661,-2.5184375236555496,0.1231056496017442
Kidney-cohort 365-day mortality,kidney_mortality,1,2,43,20117,Standard TVAE,TSTR,LogisticRegression,0.5036850288565431,0.13740458015267176,0.0861244019138756,0.33962264150943394,0.5689665477874519,0.07466357674286839,0.6190253232651272,0.21452501349019326,-2.7442829029301237,0.040739333202180913
